set(['b3708 glyclt_c', 'b3708 atp_c', 'b2276 h2o_c', 'b2276 ppi_c', 'b2276 nad_c', 'b3708 nadh_c', 'b2276 nadh_c', 'b2276 coa_c', 'b3708 adp_c', 'b3708 coa_c', 'b3708 accoa_c', 'b2276 h2o_p', 'b2276 h_c', 'b3708 ACP_c', 'b2276 pi_c', 'b2276 adp_c', 'b2276 pi_p', 'b2276 ACP_c', 'b2276 atp_c', 'b3708 ppi_c', 'b3708 pi_p', 'b3708 nadp_c', 'b2276 nadp_c', 'b3708 nadph_c', 'b2276 h_p', 'b3708 pi_c', 'b3708 h_p', 'b2276 q8_c', 'b3708 h2o_c', 'b2276 accoa_c', 'b2276 glyclt_c', 'b3708 o2_c', 'b2276 nadph_c', 'b3708 h2o_p', 'b2276 co2_c', 'b3708 h_c'])

Target Metabolite 	Exchange reaction ID 	Reactants 	Products
b3708 lac_D_p 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b3708 1pyr5c_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 1pyr5c_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 1pyr5c_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 1pyr5c_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']


b2276 glu5sa_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 glu5sa_c 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 glu5sa_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 glu5sa_c 	Org_b2276 ERR45 	['ade_e'] 	['b2276 ade_e']
b2276 glu5sa_c 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 glu5sa_c 	Org_b3708 ER45 	['b3708 ade_e'] 	['ade_e']


b3708 fum_e 	Org_b2276 ER3 	['b2276 fum_e'] 	['fum_e']
b3708 fum_e 	Org_b3708 ERR3 	['fum_e'] 	['b3708 fum_e']


b3708 fum_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 fum_c 	Org_b2276 ER174 	['b2276 asp_L_e'] 	['asp_L_e']
b3708 fum_c 	Org_b2276 ER3 	['b2276 fum_e'] 	['fum_e']
b3708 fum_c 	Org_b2276 ER212 	['b2276 asn_L_e'] 	['asn_L_e']
b3708 fum_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 fum_c 	Org_b3708 ERR184 	['succ_e'] 	['b3708 succ_e']
b3708 fum_c 	Org_b3708 ERR3 	['fum_e'] 	['b3708 fum_e']
b3708 fum_c 	Org_b3708 ERR212 	['asn_L_e'] 	['b3708 asn_L_e']
b3708 fum_c 	Org_b2276 ER91 	['b2276 co2_e'] 	['co2_e']
b3708 fum_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 fum_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 fum_c 	Org_b2276 ER184 	['b2276 succ_e'] 	['succ_e']
b3708 fum_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 fum_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 fum_c 	Org_b3708 ERR174 	['asp_L_e'] 	['b3708 asp_L_e']
b3708 fum_c 	Org_b3708 ERR91 	['co2_e'] 	['b3708 co2_e']


b2276 acg5p_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 acg5p_c 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 acg5p_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 acg5p_c 	Org_b2276 ERR45 	['ade_e'] 	['b2276 ade_e']
b2276 acg5p_c 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 acg5p_c 	Org_b3708 ER45 	['b3708 ade_e'] 	['ade_e']


b3708 r5p_c 	Org_b2276 ER281 	['b2276 glyald_e'] 	['glyald_e']
b3708 r5p_c 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b3708 r5p_c 	Org_b3708 ERR127 	['ins_e'] 	['b3708 ins_e']
b3708 r5p_c 	Org_b3708 ERR281 	['glyald_e'] 	['b3708 glyald_e']
b3708 r5p_c 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b3708 r5p_c 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
